"date","aqs","pm25","o3"
2024-01-16 09:00:00,"Pinheiros",1,30
2024-01-16 10:00:00,"Pinheiros",0,41
2024-01-16 11:00:00,"Pinheiros",8,NA
2024-01-16 12:00:00,"Pinheiros",11,61
2024-01-16 13:00:00,"Pinheiros",1,63
2024-01-16 14:00:00,"Pinheiros",1,66
2024-01-16 15:00:00,"Pinheiros",0,73
2024-01-16 16:00:00,"Pinheiros",7,80
2024-01-16 17:00:00,"Pinheiros",17,77
2024-01-16 18:00:00,"Pinheiros",10,70
2024-01-16 19:00:00,"Pinheiros",2,53
2024-01-16 20:00:00,"Pinheiros",15,34
2024-01-16 21:00:00,"Pinheiros",12,28
2024-01-16 22:00:00,"Pinheiros",12,22
2024-01-16 23:00:00,"Pinheiros",16,21
2024-01-17 00:00:00,"Pinheiros",13,22
2024-01-17 01:00:00,"Pinheiros",12,16
2024-01-17 02:00:00,"Pinheiros",13,23
2024-01-17 03:00:00,"Pinheiros",17,NA
2024-01-17 04:00:00,"Pinheiros",14,NA
2024-01-17 05:00:00,"Pinheiros",16,4
2024-01-17 06:00:00,"Pinheiros",10,NA
2024-01-17 07:00:00,"Pinheiros",10,11
2024-01-17 08:00:00,"Pinheiros",7,15
2024-01-17 09:00:00,"Pinheiros",6,28
2024-01-17 10:00:00,"Pinheiros",NA,37
2024-01-17 11:00:00,"Pinheiros",4,47
2024-01-17 12:00:00,"Pinheiros",7,65
2024-01-17 13:00:00,"Pinheiros",5,74
2024-01-17 14:00:00,"Pinheiros",12,69
2024-01-17 15:00:00,"Pinheiros",7,64
2024-01-17 16:00:00,"Pinheiros",22,56
2024-01-17 17:00:00,"Pinheiros",20,41
2024-01-17 18:00:00,"Pinheiros",8,36
2024-01-17 19:00:00,"Pinheiros",2,27
2024-01-17 20:00:00,"Pinheiros",8,27
2024-01-17 21:00:00,"Pinheiros",15,20
2024-01-17 22:00:00,"Pinheiros",3,27
2024-01-17 23:00:00,"Pinheiros",11,14
